,report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,latitude,longitude,on_street_road_highway,street_address_number,from_intersection_of,geometry
14477,89144732,2019,2019-10-06 20:23,14.0,2,3,30.435446,-84.288422,W GAINES ST,467,MACOMB ST,POINT (-84.288422 30.435446)
14478,89298623,2019,2019-12-26 17:00,14.0,2,3,30.492848,-84.324181,TALPECO RD,,N MONROE ST,POINT (-84.324181 30.492848)
14480,89298628,2019,2019-12-27 09:46,14.0,2,3,30.382339,-84.273041,WOODVILLE HWY,,LEWIS BLVD S,POINT (-84.27304100000001 30.382339)
14481,89144598,2019,2019-10-03 12:14,14.0,2,4,30.427839,-84.289607,WAHNISH WAY,,GIBBS HALL TRL,POINT (-84.289607 30.427839)
14482,89144601,2019,2019-10-03 13:23,14.0,2,2,30.457349,-84.308338,COLORADO ST,,ALABAMA ST,POINT (-84.30833800000001 30.457349)
14483,89144194,2019,2019-09-19 20:57,14.0,3,6,30.449153,-84.314856,W TENNESSEE ST,,OCALA RD,POINT (-84.31485600000001 30.449153)
14484,89144195,2019,2019-09-19 17:11,14.0,3,3,30.451367,-84.280753,N MONROE ST,,THOMASVILLE RD,POINT (-84.280753 30.451367)
14485,89144197,2019,2019-09-20 00:15,14.0,2,2,30.438713,-84.290771,W PENSACOLA ST,,S COPELAND ST,POINT (-84.29077100000001 30.438713)
14486,89146932,2019,2019-12-29 18:45,14.0,3,3,30.436904,-84.26171,APALACHEE PKWY,,S MAGNOLIA DR,POINT (-84.26170999999999 30.436904)
14487,89144645,2019,2019-10-04 13:17,14.0,2,2,30.474237,-84.234333,CAPITAL CIR NE,,CARE DR,POINT (-84.23433300000001 30.474237)
14488,89144653,2019,2019-10-04 15:07,14.0,2,4,30.463019,-84.313498,HIGH RD,,W THARPE ST,POINT (-84.313498 30.463019)
14489,89144661,2019,2019-10-04 17:09,14.0,2,2,30.435201,-84.249489,BLAIR STONE RD,,GOVERNORS SQUARE BLVD,POINT (-84.249489 30.435201)
14490,88057004,2019,2019-09-06 07:25,14.0,2,2,30.47874845176,-84.3254526286556,INTERSTATE-10 MM198 EB (STATE ROAD-8),,UNITED STATES-27 (NORTH MONROE ST),POINT (-84.3254526286556 30.47874845176)
14491,89143313,2019,2019-08-20 21:11,14.0,2,6,30.505372,-84.249166,US 319 NB,,KILLEARN CENTER BLVD,POINT (-84.249166 30.505372)
14492,89143317,2019,2019-08-21 08:15,14.0,2,2,30.419679,-84.28061,S MONROE ST,,E MAGNOLIA DR,POINT (-84.28061 30.419679)
14493,89143318,2019,2019-08-21 07:42,14.0,2,5,30.431268,-84.28059,S MONROE ST,,OAKLAND AVE E,POINT (-84.28059 30.431268)
14494,89143335,2019,2019-08-22 08:26,14.0,2,2,30.468329,-84.233201,MICCOSUKEE RD,,CENTRE POINTE BLVD,POINT (-84.23320099999999 30.468329)
14495,89143336,2019,2019-08-22 09:19,14.0,2,2,30.455332,-84.323665,SAN LUIS RD,,SOLANA AVE,POINT (-84.32366500000001 30.455332)
14496,89143337,2019,2019-08-22 08:28,14.0,2,3,30.463623,-84.299989,OLD BAINBRIDGE RD,,W THARPE ST,POINT (-84.299989 30.463623)
14497,89143339,2019,2019-08-22 08:15,14.0,3,3,30.467293,-84.361336,CAPITAL CIR NW,,PEDDIE DR,POINT (-84.36133599999999 30.467293)
14498,89143319,2019,2019-08-21 11:52,14.0,2,2,30.456526,-84.277393,THOMASVILLE RD,,E 6TH AVE,POINT (-84.277393 30.456526)
14499,89143325,2019,2019-08-21 12:15,14.0,3,5,30.473053,-84.311304,HIGH RD,,OLD BAINBRIDGE RD,POINT (-84.31130400000001 30.473053)
14500,89143332,2019,2019-08-21 14:42,14.0,5,7,30.462575,-84.220707,MAHAN DR,,BREWSTER RD,POINT (-84.220707 30.462575)
14501,89143340,2019,2019-08-22 10:05,14.0,2,2,30.506518,-84.250089,THOMASVILLE RD,,MARKET ST,POINT (-84.250089 30.506518)
14502,89144552,2019,2019-10-01 15:20,14.0,4,4,30.448954,-84.306885,W TENNESSEE ST,,STADIUM DR,POINT (-84.30688499999999 30.448954)
14503,89144553,2019,2019-10-01 16:27,14.0,2,2,30.463374,-84.318049,OCALA RD,,THARPE ST,POINT (-84.318049 30.463374)
14504,89143333,2019,2019-08-22 07:31,14.0,2,2,30.442062,-84.226691,CAPITAL CIR NE,,E PARK AVE,POINT (-84.226691 30.442062)
14505,89143334,2019,2019-08-22 06:54,14.0,3,3,30.46113,-84.225237,MAHAN DR,,CAPITAL CIR NE,POINT (-84.22523700000001 30.46113)
14506,88060327,2019,2019-01-24 11:20,14.0,2,2,30.6689348730387,-84.2750609903908,OWLS HOLLOW CRST LANE,,CLOVER WAY ROAD,POINT (-84.2750609903908 30.6689348730387)
14507,87845469,2019,2019-03-27 14:50,14.0,2,3,30.499829,-84.247391,CAPITAL CIR NE,,RAYMOND DIEHL RD,POINT (-84.24739099999999 30.499829)
14508,87845471,2019,2019-03-27 14:46,14.0,2,2,30.458408,-84.232918,MAHAN DR,,MITCHAM DR,POINT (-84.232918 30.458408)
14509,87845475,2019,2019-03-27 17:02,14.0,2,2,30.443773,-84.280671,N MONROE ST,,E CALL ST,POINT (-84.280671 30.443773)
14510,87845478,2019,2019-03-27 17:01,14.0,2,2,30.449072,-84.282949,W BREVARD ST,,N DUVAL ST,POINT (-84.282949 30.449072)
14511,87845479,2019,2019-03-27 17:34,14.0,3,3,30.474516,-84.280216,JOHN KNOX RD,,DELTA BLVD,POINT (-84.280216 30.474516)
14512,88027208,2019,2019-03-14 20:25,14.0,2,5,30.44205,-84.42836,STATE ROAD 20 W (BLOUNTSTOWN HIGHWAY),,POND PINE STREET,POINT (-84.42836 30.44205)
14513,88027209,2019,2019-03-15 04:20,14.0,2,2,30.49946,-84.21803,INTERSTATE 10 (STATE ROAD 8) 205 EB,,CENTERVILLE  ROAD OVERPASS,POINT (-84.21803 30.49946)
14515,89145175,2019,2019-10-22 05:18,14.0,2,2,30.43675,-84.280659,S MONROE ST,,E MADISON ST,POINT (-84.280659 30.43675)
14516,89145296,2019,2019-10-26 14:15,14.0,2,2,30.446622,-84.325806,W TENNESSEE ST,,WHITE DR,POINT (-84.325806 30.446622)
14517,88098366,2019,2019-10-15 08:20,14.0,2,4,30.4929507786393,-84.2787188522133,INTERSTATE 10 (SR-8),,201 MM,POINT (-84.2787188522133 30.4929507786393)
14518,89145241,2019,2019-10-24 15:33,14.0,2,3,30.47735,-84.29428,ALLEN RD,,SILVERADO PARK APARTMENTS,POINT (-84.29428 30.47735)
14519,89145245,2019,2019-10-19 15:37,14.0,2,3,30.462941,-84.318027,OCALA RD,,FAIRLANE RD,POINT (-84.318027 30.462941)
14520,89145250,2019,2019-10-25 01:54,14.0,2,5,30.440338,-84.288373,S MACOMB ST,,W COLLEGE AVE,POINT (-84.28837300000001 30.440338)
14521,89145251,2019,2019-10-25 07:14,14.0,2,2,30.458551,-84.361597,W TENNESSEE ST,,CAPITAL CIR NW,POINT (-84.361597 30.458551)
14522,89146933,2019,2019-12-29 17:50,14.0,2,3,30.412509,-84.281162,E ORANGE AVE,,S MONROE ST,POINT (-84.28116199999999 30.412509)
14523,89146934,2019,2019-12-29 19:53,14.0,2,3,30.502313,-84.240682,KILLEARN CENTER BLVD,,WATERMARK DR,POINT (-84.24068200000001 30.502313)
14524,88261355,2019,2019-12-27 13:50,14.0,2,6,30.32141,-84.24906,STATE ROAD 363,,COUNTY ROAD 2204,POINT (-84.24906 30.32141)
14525,87843658,2019,2019-01-16 17:28,14.0,2,3,30.444676,-84.285609,N M L KING JR BLVD,,W TENNESSEE ST,POINT (-84.28560899999999 30.444676)
14526,87843662,2019,2019-01-16 20:19,14.0,2,2,30.467485,-84.285127,N MONROE ST,,BRADFORD RD,POINT (-84.285127 30.467485)
14527,89144538,2019,2019-10-01 14:24,14.0,2,2,30.436733,-84.258676,APALACHEE PKWY,1416,,POINT (-84.25867599999999 30.436733)
14528,89146307,2019,2019-12-03 14:44,14.0,2,2,30.453007,-84.280785,N MONROE ST,,E 3RD AVE,POINT (-84.28078499999999 30.453007)
14529,89141531,2019,2019-06-04 14:52,14.0,2,2,30.452542,-84.337384,W TENNESSEE ST,,APPLEYARD DR,POINT (-84.337384 30.452542)
14530,89141532,2019,2019-06-04 14:57,14.0,2,4,30.398031,-84.28056,GAILE AVE,,WOODVILLE HWY,POINT (-84.28055999999999 30.398031)
14531,89141537,2019,2019-06-04 16:35,14.0,2,2,30.455017,-84.262326,DOCTORS DR,,N MAGNOLIA DR,POINT (-84.262326 30.455017)
14532,89141512,2019,2019-06-03 17:11,14.0,2,2,30.47398,-84.294178,N MONROE ST,,ALLEN RD,POINT (-84.294178 30.47398)
14533,89141515,2019,2019-06-03 17:03,14.0,2,3,30.452856,-84.289477,EDGEHILL CIR,213,,POINT (-84.28947700000001 30.452856)
14534,89141518,2019,2019-06-03 16:39,14.0,2,2,30.479942,-84.302086,N MONROE ST,,LAKESHORE DR,POINT (-84.302086 30.479942)
14535,87845366,2019,2019-03-22 08:09,14.0,2,2,30.46368,-84.285589,W THARPE ST,,N M L KING JR BLVD,POINT (-84.285589 30.46368)
14536,87845348,2019,2019-03-21 10:40,14.0,2,3,30.444714,-84.280424,E TENNESSEE ST,,N MONROE ST,POINT (-84.280424 30.444714)
14537,87845400,2019,2019-03-24 13:17,14.0,2,2,30.448412,-84.287679,W GEORGIA ST,448,,POINT (-84.287679 30.448412)
14538,87845448,2019,2019-03-26 13:42,14.0,2,2,30.441685,-84.288882,W PARK AVE,,S MACOMB ST,POINT (-84.288882 30.441685)
14541,85871807,2019,2019-04-01 08:56,14.0,2,2,30.447514,-84.262026,EAST TENNESSEE STREET,,MAGNOLIA DRIVE,POINT (-84.26202600000001 30.447514)
14542,88111368,2019,2019-06-05 18:30,14.0,2,2,30.49148,-84.1255,9003 MAHAN DRIVE PAN GAS STATION PLOT,,CHAIRES CROSSROAD,POINT (-84.1255 30.49148)
14543,89144903,2019,2019-10-12 14:00,14.0,2,5,30.414584,-84.344402,RANKIN AVE,,W ORANGE AVE,POINT (-84.344402 30.414584)
14544,89144912,2019,2019-10-12 22:30,14.0,2,4,30.436135,-84.249476,BLAIR STONE RD,,GOVERNORS SQUARE BLVD,POINT (-84.249476 30.436135)
14545,87843829,2019,2019-01-22 21:18,14.0,2,2,30.461043,-84.225027,MAHAN DR,,ACCESS ROAD,POINT (-84.225027 30.461043)
14548,87843768,2019,2019-01-19 21:29,14.0,2,5,30.435474,-84.284326,S BRONOUGH ST,,W GAINES ST,POINT (-84.28432599999999 30.435474)
14549,87845491,2019,2019-03-28 07:57,14.0,2,2,30.45554,-84.277766,BEARD ST,,THOMASVILLE RD,POINT (-84.277766 30.45554)
14550,87845493,2019,2019-03-28 08:17,14.0,2,3,30.463615,-84.313105,W THARPE ST,,HIGH RD,POINT (-84.31310499999999 30.463615)
14551,87845497,2019,2019-03-28 11:35,14.0,2,3,30.462326,-84.228095,AUSTIN DAVIS AVE,,CAPITAL CIR NE,POINT (-84.228095 30.462326)
14552,88060319,2019,2019-01-09 08:20,14.0,2,2,30.4966029854662,-84.3261395230677,US 27 (SR 63) NORTH MONROE STREET,,WIGGINGTON ROAD,POINT (-84.3261395230677 30.4966029854662)
14553,88060320,2019,2019-01-10 08:15,14.0,2,3,30.5100792964335,-84.3409166659341,NB NORTH MONROE STREET (US 27) (SR63),,HARRIET DRIVE,POINT (-84.3409166659341 30.5100792964335)
14554,89143751,2019,2019-09-04 14:33,14.0,2,3,30.49278,-84.243868,HERMITAGE BLVD,,CAPITAL CIR NE,POINT (-84.24386800000001 30.49278)
14555,89143752,2019,2019-09-02 14:16,14.0,2,3,30.410869,-84.23551,E ORANGE AVE,,ORANGE AVE E,POINT (-84.23551 30.410869)
14556,89143772,2019,2019-09-05 08:34,14.0,2,2,30.450137,-84.278361,N GADSDEN ST,,MCDANIEL ST,POINT (-84.278361 30.450137)
14557,89143879,2019,2019-09-08 17:35,14.0,2,3,30.477707,-84.298304,SHARER RD,,N MONROE ST,POINT (-84.298304 30.477707)
14558,89143881,2019,2019-09-07 22:37,14.0,2,5,30.443595,-84.284348,W CALL ST,,N BRONOUGH ST,POINT (-84.28434799999999 30.443595)
14559,89143883,2019,2019-09-08 21:00,14.0,2,4,30.457879,-84.281093,E 7TH AVE,,N MONROE ST,POINT (-84.281093 30.457879)
14560,89143909,2019,2019-09-09 18:14,14.0,2,3,30.463495,-84.308029,W THARPE ST,,COLORADO ST,POINT (-84.308029 30.463495)
14561,89143910,2019,2019-09-09 17:47,14.0,2,6,30.463568,-84.312208,W THARPE ST,,CROYDON DR,POINT (-84.312208 30.463568)
14562,89143912,2019,2019-09-09 15:53,14.0,2,3,30.456308,-84.306555,BASIN ST,,ALABAMA ST,POINT (-84.306555 30.456308)
14563,87208864,2019,2019-01-13 13:00,14.0,2,6,30.37581,-84.29256,SR-263SW (CAPITAL CR SW),,US-319 (SR-61/CRAWFORDVILL HWY),POINT (-84.29255999999999 30.37581)
14564,87843639,2019,2019-01-15 18:30,14.0,3,6,30.483736,-84.311121,N MONROE ST,,MONROE ST,POINT (-84.311121 30.483736)
14565,87843644,2019,2019-01-16 08:42,14.0,2,3,30.434477,-84.327946,JACKSON BLUFF RD,,MABRY ST,POINT (-84.327946 30.434477)
14566,88111369,2019,2019-06-06 10:00,14.0,2,3,30.41098,-84.23505,US 319 (STATE ROAD 261),,ORANGE AVE,POINT (-84.23505 30.41098)
14567,89298222,2019,2019-10-18 13:19,14.0,2,2,30.497494,-84.253901,THOMASVILLE RD,,LIVE OAK PLANTATION RD,POINT (-84.253901 30.497494)
14568,87260133,2019,2019-03-16 13:05,14.0,3,6,30.57286,-84.22885,COUNTY ROAD 0342 (BANNERMAN RD),,STANDING PINE LN,POINT (-84.22884999999999 30.57286)
14569,89141564,2019,2019-06-04 18:30,14.0,2,6,30.43823,-84.280542,APALACHEE PKWY,,S MONROE ST,POINT (-84.280542 30.43823)
14570,87505295,2019,2019-04-02 16:08,14.0,2,2,30.381789,-84.289528,CRAWFORDVILLE RD,,ROSS RD,POINT (-84.289528 30.381789)
14571,87505321,2019,2019-04-06 15:50,14.0,2,3,30.435328,-84.352698,W PENSACOLA ST,,CAPITAL CIR SW,POINT (-84.352698 30.435328)
14573,89297942,2019,2019-09-03 14:43,14.0,3,5,30.393822,-84.321856,CAPITAL CIR SW,,SPRINGHILL RD,POINT (-84.321856 30.393822)
14574,89143320,2019,2019-08-21 13:07,14.0,2,2,30.427413,-84.228468,APALACHEE PKWY,,KINGS DR,POINT (-84.22846800000001 30.427413)
14575,89143321,2019,2019-08-21 11:30,14.0,2,3,30.411805,-84.251312,E ORANGE AVE,,BLAIR STONE RD,POINT (-84.251312 30.411805)
14576,89143322,2019,2019-08-21 11:50,14.0,2,2,30.423257,-84.302264,LAKE BRADFORD RD,,LEVY AVE,POINT (-84.30226399999999 30.423257)
14577,89143323,2019,2019-08-21 11:35,14.0,2,2,30.448955,-84.306661,STADIUM DR,,W TENNESSEE ST,POINT (-84.30666100000001 30.448955)
14578,89143324,2019,2019-08-21 14:05,14.0,2,2,30.528203,-84.188595,CENTERVILLE RD,,KILLIMORE LN,POINT (-84.18859500000001 30.528203)
14579,89145343,2019,2019-10-28 09:34,14.0,2,4,30.42177,-84.282056,W OSCEOLA ST,,S ADAMS ST,POINT (-84.282056 30.42177)
14580,89145361,2019,2019-10-28 22:13,14.0,2,3,30.444666,-84.293812,W TENNESSEE ST,,N DEWEY ST,POINT (-84.293812 30.444666)
14581,89145365,2019,2019-10-29 07:55,14.0,2,3,30.402254,-84.280432,TRAM RD,,S MONROE ST,POINT (-84.280432 30.402254)
14582,89144940,2019,2019-10-14 14:06,14.0,2,4,30.465425,-84.331462,W THARPE ST,,MARY ELLEN DR,POINT (-84.331462 30.465425)
14583,89144942,2019,2019-10-14 12:28,14.0,2,2,30.4547,-84.28189,N ADAMS ST,,W 5TH AVE,POINT (-84.28189 30.4547)
14584,89144943,2019,2019-10-14 14:24,14.0,2,4,30.471521,-84.291489,MONTICELLO DR,,N MONROE ST,POINT (-84.291489 30.471521)
14585,89144944,2019,2019-10-14 16:18,14.0,2,3,30.53635,-84.27751,N MERIDIAN RD,,MILLER LANDING RD,POINT (-84.27751000000001 30.53635)
14586,89145376,2019,2019-10-29 15:43,14.0,2,2,30.435454,-84.292259,W GAINES ST,,GAY ST,POINT (-84.292259 30.435454)
14587,89145379,2019,2019-10-29 11:45,14.0,2,2,30.434355,-84.33631,JACKSON BLUFF RD,,CHIPLEY ST,POINT (-84.33631 30.434355)
14588,89145393,2019,2019-10-30 07:27,14.0,2,2,30.447141,-84.275703,MICCOSUKEE RD,,CHERRY ST,POINT (-84.27570299999999 30.447141)
14589,89145366,2019,2019-10-29 08:01,14.0,2,2,30.41126,-84.303995,SPRINGHILL RD,,SAWMILL RD,POINT (-84.303995 30.41126)
14590,89145368,2019,2019-10-29 08:07,14.0,4,4,30.394691,-84.235105,CAPITAL CIR SE,,DRAYTON DR,POINT (-84.235105 30.394691)
14591,89145370,2019,2019-10-28 07:30,14.0,2,2,30.441807,-84.278322,S GADSDEN ST,,E PARK AVE,POINT (-84.278322 30.441807)
14592,89298270,2019,2019-10-25 18:23,14.0,2,2,30.46118,-84.225153,MAHAN DR,,WEEMS RD,POINT (-84.22515300000001 30.46118)
14593,89298276,2019,2019-10-26 10:41,14.0,3,5,30.413491,-84.190221,OLD SAINT AUGUSTINE RD,,SAINT AUGUSTINE WAY,POINT (-84.19022099999999 30.413491)
14594,89298192,2019,2019-10-14 20:20,14.0,2,2,30.486202,-84.316133,N MONROE ST,3210,,POINT (-84.31613299999999 30.486202)
14595,88095955,2019,2019-10-04 08:20,14.0,2,4,30.42899,-84.20251,US HIGHWAY 27,,CONNOR BLVD,POINT (-84.20251 30.42899)
14596,89144871,2019,2019-10-11 13:40,14.0,2,3,30.44914,-84.313456,W TENNESSEE ST,,HIGH RD,POINT (-84.313456 30.44914)
14597,89144877,2019,2019-10-11 15:29,14.0,2,2,30.426719,-84.301997,GAMBLE ST,,STUCKEY AVE,POINT (-84.301997 30.426719)
14598,89144879,2019,2019-10-11 16:47,14.0,2,3,30.43036,-84.281685,S ADAMS ST,1405,,POINT (-84.281685 30.43036)
14599,89144888,2019,2019-10-11 19:19,14.0,2,3,30.435595,-84.261803,E LAFAYETTE ST,,S MAGNOLIA DR,POINT (-84.261803 30.435595)
14600,89144936,2019,2019-10-14 08:57,14.0,2,2,30.465242,-84.347756,W THARPE ST,,BLOUNTSTOWN ST EXT,POINT (-84.347756 30.465242)
14601,89144938,2019,2019-10-14 12:30,14.0,2,3,30.460015,-84.296735,OLD BAINBRIDGE RD,,THE SOCIAL APTS 1600 OLD BAINBRIDGE RD,POINT (-84.296735 30.460015)
14602,89144972,2019,2019-10-15 07:06,14.0,2,5,30.432192,-84.2493,APALACHEE PKWY,,BLAIR STONE RD,POINT (-84.24930000000001 30.432192)
14603,89144981,2019,2019-10-15 17:10,14.0,2,2,30.440349,-84.312622,W PENSACOLA ST,,LOVELACE DR,POINT (-84.312622 30.440349)
14604,89144983,2019,2019-10-15 17:40,14.0,3,3,30.434399,-84.313712,JACKSON BLUFF RD,,FAIRBANKS DR,POINT (-84.313712 30.434399)
14605,89143760,2019,2019-09-04 19:55,14.0,2,3,30.449065,-84.306443,W TENNESSEE ST,,BASIN ST,POINT (-84.306443 30.449065)
14606,88593020,2019,2019-09-24 08:45,14.0,2,2,30.437589,-84.300869,STADIUM DR E,,W ST AUGUSTINE ST,POINT (-84.30086900000001 30.437589)
14607,89143899,2019,2019-09-09 02:04,14.0,2,4,30.456324,-84.259691,MICCOSUKEE RD,,BROOKWOOD DR,POINT (-84.259691 30.456324)
14608,89143900,2019,2019-09-09 13:58,14.0,2,2,30.44823,-84.274532,MICCOSUKEE RD,,E GEORGIA ST,POINT (-84.27453199999999 30.44823)
14609,89143905,2019,2019-09-09 15:40,14.0,2,2,30.46127,-84.224732,MAHAN DR,,WEEMS RD,POINT (-84.224732 30.46127)
14610,89143908,2019,2019-09-09 17:20,14.0,2,2,30.494453,-84.244926,CAPITAL CIR NE,,EASTGATE WAY,POINT (-84.24492600000001 30.494453)
14611,89143914,2019,2019-09-09 21:16,14.0,2,3,30.4366,-84.261665,S MAGNOLIA DR,,APALACHEE PKWY,POINT (-84.26166499999999 30.4366)
14612,89143738,2019,2019-09-03 22:00,14.0,2,3,30.447555,-84.32742,W TENNESSEE ST,,DIXIE DR,POINT (-84.32742 30.447555)
14613,89297565,2019,2019-06-05 12:58,14.0,2,4,30.390703,-84.302939,ESTATES RD,,RAINBOW RD,POINT (-84.30293899999999 30.390703)
14614,89298062,2019,2019-09-23 16:40,14.0,2,3,30.500023,-84.327881,N MONROE ST,,TRADING POST RD,POINT (-84.327881 30.500023)
14615,89297944,2019,2019-08-23 15:46,14.0,2,2,30.488456,-84.145874,PLANTATION FOREST DR,,MAHAN DR,POINT (-84.14587400000001 30.488456)
14616,89143831,2019,2019-09-06 12:27,14.0,2,2,30.506753,-84.251924,MARKET ST,,MACLAY BLVD S,POINT (-84.251924 30.506753)
14617,89143834,2019,2019-09-07 10:57,14.0,2,2,30.44345,-84.280668,N MONROE ST,,E CALL ST,POINT (-84.28066800000001 30.44345)
14618,89143835,2019,2019-09-07 11:07,14.0,2,2,30.435019,-84.257042,APALACHEE PKWY,,E INDIANHEAD DR,POINT (-84.257042 30.435019)
14619,89143920,2019,2019-09-10 22:22,14.0,2,3,30.463534,-84.30995,W THARPE ST,,SEMINOLE GRAND APARTMENTS,POINT (-84.30995 30.463534)
14620,89143344,2019,2019-08-22 15:16,14.0,2,2,30.425682,-84.295093,SAXON ST,,MANATEE ST,POINT (-84.29509299999999 30.425682)
14622,89143345,2019,2019-08-22 12:13,14.0,2,3,30.441043,-84.325679,W PENSACOLA ST,,WHITE DR,POINT (-84.32567899999999 30.441043)
14623,89143346,2019,2019-08-22 13:17,14.0,2,2,30.449133,-84.312499,W TENNESSEE ST,,BUENA VISTA DR,POINT (-84.312499 30.449133)
14624,87843835,2019,2019-01-22 17:19,14.0,2,2,30.45059,-84.277614,MCDANIEL ST,,N GADSDEN ST,POINT (-84.277614 30.45059)
14625,87843839,2019,2019-01-23 07:45,14.0,2,2,30.505011,-84.250945,THOMASVILLE RD,,TIMBERLANE RD,POINT (-84.250945 30.505011)
14626,88060325,2019,2019-01-20 10:10,14.0,2,3,30.3938238560933,-84.3217897022081,EASTBOUND CAPITAL CIRCLE SOUTHWEST (SR 263),,SPRINGHILL ROAD (SR 373),POINT (-84.32178970220809 30.3938238560933)
14627,89125706,2019,2019-05-03 12:41,14.0,2,3,30.42988,-84.28421,PALMER AVENUE,,S. ML KING JR. BLVD.,POINT (-84.28421 30.42988)
14628,89125707,2019,2019-05-03 17:10,14.0,2,2,30.42606,-84.29179,PERRY  STREET,1601,GAMBLE STREET,POINT (-84.29179000000001 30.42606)
14629,89297789,2019,2019-08-04 12:23,14.0,2,2,30.376022,-84.270233,WOODVILLE HWY,,CAPITAL CIR SW,POINT (-84.270233 30.376022)
14630,89141433,2019,2019-05-30 20:00,14.0,2,5,30.460311,-84.227565,MAHAN DR,,CAPITAL CIR NE,POINT (-84.227565 30.460311)
14631,87843967,2019,2019-01-27 12:30,14.0,2,2,30.431399,-84.280786,E OAKLAND AVE,,S MONROE ST,POINT (-84.28078600000001 30.431399)
14632,87843968,2019,2019-01-27 12:46,14.0,2,1,30.422326,-84.294687,FLIPPER ST,,KISSIMMEE ST,POINT (-84.294687 30.422326)
14633,89141639,2019,2019-06-09 13:59,14.0,2,4,30.39772,-84.281713,CRAWFORDVILLE RD,,RIDGE RD,POINT (-84.281713 30.39772)
14634,89145259,2019,2019-10-25 11:08,14.0,2,2,30.449092,-84.284355,N BRONOUGH ST,,W BREVARD ST,POINT (-84.28435500000001 30.449092)
14635,89145260,2019,2019-10-25 10:56,14.0,2,4,30.439062,-84.256057,GOVERNORS SQUARE BLVD,,REESE PARK LN,POINT (-84.256057 30.439062)
14636,89145262,2019,2019-10-25 12:29,14.0,2,3,30.4653,-84.344441,COUNTRY LN,,W THARPE ST,POINT (-84.344441 30.4653)
14637,89145263,2019,2019-10-25 12:50,14.0,2,2,30.444763,-84.278181,E TENNESSEE ST,,N GADSDEN ST,POINT (-84.278181 30.444763)
14638,89145253,2019,2019-10-25 07:24,14.0,2,5,30.397797,-84.281059,GAILE AVE,,RIDGE RD,POINT (-84.281059 30.397797)
14639,89145254,2019,2019-10-25 08:36,14.0,2,2,30.513618,-84.243538,THOMASVILLE RD,,TALLAHASSEE DR,POINT (-84.243538 30.513618)
14640,89145255,2019,2019-10-25 09:14,14.0,2,2,30.419823,-84.268317,E MAGNOLIA DR,,COUNTRY CLUB DR,POINT (-84.268317 30.419823)
14641,89145256,2019,2019-10-25 09:51,14.0,2,4,30.458822,-84.228096,CAPITAL CIR NE,,MAHAN DR,POINT (-84.22809599999999 30.458822)
14642,89145257,2019,2019-10-25 11:22,14.0,2,3,30.494158,-84.244825,CAPITAL CIR NE,,EASTGATE WAY,POINT (-84.24482500000001 30.494158)
14643,89145258,2019,2019-10-25 11:00,14.0,2,2,30.542013,-84.228199,THOMASVILLE RD,,KERRY FOREST PKWY,POINT (-84.228199 30.542013)
14644,88047569,2019,2019-10-24 19:28,14.0,2,4,30.52523,-84.36309,STATE ROAD 263 (CAPITAL CIRLCE NW,,COUNTY ROAD 361,POINT (-84.36309 30.52523)
14645,88056982,2019,2019-05-31 07:18,14.0,3,5,30.4793752489733,-84.3227787317199,INTERSTATE-10(STATE ROAD-8) EB,,UNITED STATES-27 (NORTH MONROE ST),POINT (-84.32277873171989 30.4793752489733)
14647,89143107,2019,2019-08-12 13:30,14.0,2,2,30.432234,-84.245003,APALACHEE PKWY,2120,,POINT (-84.245003 30.432234)
14648,89297919,2019,2019-08-28 15:30,14.0,2,1,30.540169,-84.323507,BRILL PT,,MILLER LANDING RD,POINT (-84.32350700000001 30.540169)
14649,89141376,2019,2019-05-28 17:05,14.0,2,2,30.461669,-84.348976,ANN ARBOR AVE,1969,,POINT (-84.34897599999999 30.461669)
14650,89141454,2019,2019-05-31 18:33,14.0,3,2,30.448704,-84.315456,W TENNESSEE ST,1935,,POINT (-84.315456 30.448704)
14651,89141377,2019,2019-05-28 17:33,14.0,2,2,30.500412,-84.26024,RAMP FROM I-10 E TO SR-61 S,,I-10,POINT (-84.26024 30.500412)
14652,89141428,2019,2019-05-30 15:57,14.0,2,2,30.456519,-84.344834,BLOUNTSTOWN ST,,BLOUNTSTOWN HWY,POINT (-84.34483400000001 30.456519)
14653,89141439,2019,2019-05-31 10:45,14.0,2,3,30.446897,-84.284372,W CAROLINA ST,,N BRONOUGH ST,POINT (-84.284372 30.446897)
14654,89141445,2019,2019-05-31 13:50,14.0,2,4,30.446619,-84.337921,APPLEYARD DR,,TCC BUS LOOP,POINT (-84.33792099999999 30.446619)
14655,87844998,2019,2019-03-05 16:45,14.0,2,3,30.479703,-84.30254,LAKESHORE DR,,N MONROE ST,POINT (-84.30253999999999 30.479703)
14656,87843815,2019,2019-01-22 10:20,14.0,2,2,30.449144,-84.31518,W TENNESSEE ST,,OCALA RD,POINT (-84.31518 30.449144)
14657,87843816,2019,2019-01-22 11:47,14.0,2,3,30.452501,-84.338008,APPLEYARD DR,,W TENNESSEE ST,POINT (-84.338008 30.452501)
14658,89143661,2019,2019-08-31 21:35,14.0,2,3,30.456196,-84.345061,W TENNESSEE ST,,BLOUNTSTOWN ST,POINT (-84.345061 30.456196)
14659,89143744,2019,2019-09-04 12:04,14.0,2,3,30.44985,-84.279593,N CALHOUN ST,,E BREVARD ST,POINT (-84.27959300000001 30.44985)
